Date,^GSPC
1929-01-31,25.74
1929-02-28,25.59
1929-03-31,25.53
1929-04-30,25.94
1929-05-31,24.83
1929-06-30,27.41
1929-07-31,28.88
1929-08-31,31.71
1929-09-30,30.16
1929-10-31,24.15
1929-11-30,20.92
1929-12-31,21.45
1930-01-31,22.79
1930-02-28,23.28
1930-03-31,24.15
1930-04-30,24.9
1930-05-31,24.49
1930-06-30,20.46
1930-07-31,21.21
1930-08-31,21.37
1930-09-30,18.59
1930-10-31,16.94
1930-11-30,16.38
1930-12-31,15.34
1931-01-31,16.19
1931-02-28,18.03
1931-03-31,16.69
1931-04-30,15.09
1931-05-31,13.02
1931-06-30,14.83
1931-07-31,13.73
1931-08-31,13.86
1931-09-30,9.71
1931-10-31,10.43
1931-11-30,9.5
1931-12-31,8.12
1932-01-31,7.94
1932-02-29,8.29
1932-03-31,7.31
1932-04-30,5.83
1932-05-31,4.47
1932-06-30,4.43
1932-07-31,6.03
1932-08-31,8.39
1932-09-30,8.08
1932-10-31,6.96
1932-11-30,6.55
1932-12-31,6.92
1933-01-31,6.94
1933-02-28,5.66
1933-03-31,5.85
1933-04-30,7.83
1933-05-31,9.64
1933-06-30,10.91
1933-07-31,9.95
1933-08-31,11.09
1933-09-30,9.72
1933-10-31,8.96
1933-11-30,9.88
1933-12-31,9.97
1934-01-31,11.17
1934-02-28,10.76
1934-03-31,10.62
1934-04-30,10.46
1934-05-31,9.61
1934-06-30,9.81
1934-07-31,8.68
1934-08-31,9.15
1934-09-30,9.08
1934-10-31,8.81
1934-11-30,9.54
1934-12-31,9.5
1935-01-31,9.1
1935-02-28,8.74
1935-03-31,8.45
1935-04-30,9.28
1935-05-31,9.58
1935-06-30,10.24
1935-07-31,11.08
1935-08-31,11.24
1935-09-30,11.59
1935-10-31,12.46
1935-11-30,12.94
1935-12-31,13.43
1936-01-31,14.31
1936-02-29,14.6
1936-03-31,14.92
1936-04-30,13.77
1936-05-31,14.4
1936-06-30,14.84
1936-07-31,15.85
1936-08-31,15.99
1936-09-30,16.01
1936-10-31,17.23
1936-11-30,17.28
1936-12-31,17.18
1937-01-31,17.77
1937-02-28,18.06
1937-03-31,17.92
1937-04-30,16.43
1937-05-31,16.26
1937-06-30,15.4
1937-07-31,16.77
1937-08-31,16.04
1937-09-30,13.76
1937-10-31,12.35
1937-11-30,11.11
1937-12-31,10.55
1938-01-31,10.69
1938-02-28,11.34
1938-03-31,8.5
1938-04-30,9.78
1938-05-31,9.27
1938-06-30,11.56
1938-07-31,12.33
1938-08-31,12.06
1938-09-30,12.24
1938-10-31,13.17
1938-11-30,12.73
1938-12-31,13.14
1939-01-31,12.3
1939-02-28,12.7
1939-03-31,10.98
1939-04-30,10.93
1939-05-31,11.6
1939-06-30,10.86
1939-07-31,12.04
1939-08-31,11.18
1939-09-30,12.79
1939-10-31,12.83
1939-11-30,12.2
1939-12-31,12.46
1940-01-31,12.05
1940-02-29,12.13
1940-03-31,12.18
1940-04-30,12.19
1940-05-31,9.27
1940-06-30,9.98
1940-07-31,10.29
1940-08-31,10.5
1940-09-30,10.66
1940-10-31,11.08
1940-11-30,10.57
1940-12-31,10.58
1941-01-31,10.07
1941-02-28,9.92
1941-03-31,9.96
1941-04-30,9.31
1941-05-31,9.38
1941-06-30,9.85
1941-07-31,10.39
1941-08-31,10.28
1941-09-30,10.2
1941-10-31,9.5
1941-11-30,9.12
1941-12-31,8.69
1942-01-31,8.85
1942-02-28,8.59
1942-03-31,8.01
1942-04-30,7.66
1942-05-31,8.15
1942-06-30,8.3
1942-07-31,8.56
1942-08-31,8.62
1942-09-30,8.85
1942-10-31,9.36
1942-11-30,9.29
1942-12-31,9.77
1943-01-31,10.44
1943-02-28,10.97
1943-03-31,11.58
1943-04-30,11.59
1943-05-31,12.05
1943-06-30,12.35
1943-07-31,11.85
1943-08-31,11.8
1943-09-30,12.08
1943-10-31,11.91
1943-11-30,11.02
1943-12-31,11.67
1944-01-31,11.85
1944-02-29,11.82
1944-03-31,12.02
1944-04-30,11.87
1944-05-31,12.35
1944-06-30,12.98
1944-07-31,12.71
1944-08-31,12.82
1944-09-30,12.74
1944-10-31,12.78
1944-11-30,12.83
1944-12-31,13.28
1945-01-31,13.47
1945-02-28,14.3
1945-03-31,13.61
1945-04-30,14.84
1945-05-31,15.01
1945-06-30,14.87
1945-07-31,14.66
1945-08-31,15.51
1945-09-30,16.05
1945-10-31,16.65
1945-11-30,17.19
1945-12-31,17.36
1946-01-31,18.57
1946-02-28,17.28
1946-03-31,18.04
1946-04-30,18.76
1946-05-31,19.18
1946-06-30,18.43
1946-07-31,17.96
1946-08-31,16.65
1946-09-30,14.96
1946-10-31,14.84
1946-11-30,14.68
1946-12-31,15.3
1947-01-31,15.66
1947-02-28,15.43
1947-03-31,15.17
1947-04-30,14.58
1947-05-31,14.45
1947-06-30,15.21
1947-07-31,15.76
1947-08-31,15.32
1947-09-30,15.11
1947-10-31,15.43
1947-11-30,14.98
1947-12-31,15.3
1948-01-31,14.68
1948-02-29,13.93
1948-03-31,15.08
1948-04-30,15.48
1948-05-31,16.69
1948-06-30,16.74
1948-07-31,15.85
1948-08-31,15.97
1948-09-30,15.49
1948-10-31,16.5
1948-11-30,14.75
1948-12-31,15.2
1949-01-31,15.22
1949-02-28,14.62
1949-03-31,15.06
1949-04-30,14.71
1949-05-31,14.19
1949-06-30,14.16
1949-07-31,15.04
1949-08-31,15.22
1949-09-30,15.58
1949-10-31,16.04
1949-11-30,16.06
1949-12-31,16.79
1950-01-31,17.05
1950-02-28,17.22
1950-03-31,17.29
1950-04-30,17.96
1950-05-31,18.78
1950-06-30,17.69
1950-07-31,17.84
1950-08-31,18.42
1950-09-30,19.45
1950-10-31,19.53
1950-11-30,19.51
1950-12-31,20.43
1951-01-31,21.66
1951-02-28,21.8
1951-03-31,21.48
1951-04-30,22.43
1951-05-31,21.52
1951-06-30,20.96
1951-07-31,22.4
1951-08-31,23.28
1951-09-30,23.26
1951-10-31,22.94
1951-11-30,22.88
1951-12-31,23.77
1952-01-31,24.14
1952-02-29,23.26
1952-03-31,24.37
1952-04-30,23.32
1952-05-31,23.86
1952-06-30,24.96
1952-07-31,25.4
1952-08-31,25.03
1952-09-30,24.54
1952-10-31,24.52
1952-11-30,25.66
1952-12-31,26.57
1953-01-31,26.38
1953-02-28,25.9
1953-03-31,25.29
1953-04-30,24.62
1953-05-31,24.54
1953-06-30,24.14
1953-07-31,24.75
1953-08-31,23.32
1953-09-30,23.35
1953-10-31,24.54
1953-11-30,24.76
1953-12-31,24.81
1954-01-31,26.08
1954-02-28,26.15
1954-03-31,26.94
1954-04-30,28.26
1954-05-31,29.19
1954-06-30,29.21
1954-07-31,30.88
1954-08-31,29.83
1954-09-30,32.31
1954-10-31,31.68
1954-11-30,34.24
1954-12-31,35.98
1955-01-31,36.63
1955-02-28,36.76
1955-03-31,36.58
1955-04-30,37.96
1955-05-31,37.91
1955-06-30,41.03
1955-07-31,43.52
1955-08-31,43.18
1955-09-30,43.67
1955-10-31,42.34
1955-11-30,45.51
1955-12-31,45.48
1956-01-31,43.82
1956-02-29,45.34
1956-03-31,48.48
1956-04-30,48.38
1956-05-31,45.2
1956-06-30,46.97
1956-07-31,49.39
1956-08-31,47.51
1956-09-30,45.35
1956-10-31,45.58
1956-11-30,45.08
1956-12-31,46.67
1957-01-31,44.72
1957-02-28,43.26
1957-03-31,44.11
1957-04-30,45.74
1957-05-31,47.43
1957-06-30,47.37
1957-07-31,47.91
1957-08-31,45.22
1957-09-30,42.42
1957-10-31,41.06
1957-11-30,41.72
1957-12-31,39.99
1958-01-31,41.7
1958-02-28,40.84
1958-03-31,42.1
1958-04-30,43.44
1958-05-31,44.09
1958-06-30,45.24
1958-07-31,47.19
1958-08-31,47.75
1958-09-30,50.06
1958-10-31,51.33
1958-11-30,52.48
1958-12-31,55.21
1959-01-31,55.45
1959-02-28,55.41
1959-03-31,55.44
1959-04-30,57.59
1959-05-31,58.68
1959-06-30,58.47
1959-07-31,60.51
1959-08-31,59.6
1959-09-30,56.88
1959-10-31,57.52
1959-11-30,58.28
1959-12-31,59.89
1960-01-31,55.61
1960-02-29,56.12
1960-03-31,55.34
1960-04-30,54.37
1960-05-31,55.83
1960-06-30,56.92
1960-07-31,55.51
1960-08-31,56.96
1960-09-30,53.52
1960-10-31,53.39
1960-11-30,55.54
1960-12-31,58.11
1961-01-31,61.78
1961-02-28,63.44
1961-03-31,65.06
1961-04-30,65.31
1961-05-31,66.56
1961-06-30,64.64
1961-07-31,66.76
1961-08-31,68.07
1961-09-30,66.73
1961-10-31,68.62
1961-11-30,71.32
1961-12-31,71.55
1962-01-31,68.84
1962-02-28,69.96
1962-03-31,69.55
1962-04-30,65.24
1962-05-31,59.63
1962-06-30,54.75
1962-07-31,58.23
1962-08-31,59.12
1962-09-30,56.27
1962-10-31,56.52
1962-11-30,62.26
1962-12-31,63.1
1963-01-31,66.2
1963-02-28,64.29
1963-03-31,66.57
1963-04-30,69.8
1963-05-31,70.8
1963-06-30,69.37
1963-07-31,69.13
1963-08-31,72.5
1963-09-30,71.7
1963-10-31,74.01
1963-11-30,73.23
1963-12-31,75.02
1964-01-31,77.04
1964-02-29,77.8
1964-03-31,78.98
1964-04-30,79.46
1964-05-31,80.37
1964-06-30,81.69
1964-07-31,83.18
1964-08-31,81.83
1964-09-30,84.18
1964-10-31,84.86
1964-11-30,84.42
1964-12-31,84.75
1965-01-31,87.56
1965-02-28,87.43
1965-03-31,86.16
1965-04-30,89.11
1965-05-31,88.42
1965-06-30,84.12
1965-07-31,85.25
1965-08-31,87.17
1965-09-30,89.96
1965-10-31,92.42
1965-11-30,91.61
1965-12-31,92.43
1966-01-31,92.88
1966-02-28,91.22
1966-03-31,89.23
1966-04-30,91.06
1966-05-31,86.13
1966-06-30,84.74
1966-07-31,83.6
1966-08-31,77.1
1966-09-30,76.56
1966-10-31,80.2
1966-11-30,80.45
1966-12-31,80.33
1967-01-31,86.61
1967-02-28,86.78
1967-03-31,90.2
1967-04-30,94.01
1967-05-31,89.08
1967-06-30,90.64
1967-07-31,94.75
1967-08-31,93.64
1967-09-30,96.71
1967-10-31,93.3
1967-11-30,94.0
1967-12-31,96.47
1968-01-31,92.24
1968-02-29,89.36
1968-03-31,90.2
1968-04-30,97.46
1968-05-31,98.68
1968-06-30,99.58
1968-07-31,97.74
1968-08-31,98.86
1968-09-30,102.67
1968-10-31,103.41
1968-11-30,108.37
1968-12-31,103.86
1969-01-31,103.01
1969-02-28,98.13
1969-03-31,101.51
1969-04-30,103.69
1969-05-31,103.46
1969-06-30,97.71
1969-07-31,91.83
1969-08-31,95.51
1969-09-30,93.12
1969-10-31,97.12
1969-11-30,93.81
1969-12-31,92.06
1970-01-31,85.02
1970-02-28,89.5
1970-03-31,89.63
1970-04-30,81.52
1970-05-31,76.55
1970-06-30,72.72
1970-07-31,78.05
1970-08-31,81.52
1970-09-30,84.3
1970-10-31,83.25
1970-11-30,87.2
1970-12-31,92.15
1971-01-31,95.88
1971-02-28,96.75
1971-03-31,100.31
1971-04-30,103.95
1971-05-31,99.63
1971-06-30,98.7
1971-07-31,95.58
1971-08-31,99.03
1971-09-30,98.34
1971-10-31,94.23
1971-11-30,93.99
1971-12-31,102.09
1972-01-31,103.94
1972-02-29,106.57
1972-03-31,107.2
1972-04-30,107.67
1972-05-31,109.53
1972-06-30,107.14
1972-07-31,107.39
1972-08-31,111.09
1972-09-30,110.55
1972-10-31,111.58
1972-11-30,116.67
1972-12-31,118.05
1973-01-31,116.03
1973-02-28,111.68
1973-03-31,111.52
1973-04-30,106.97
1973-05-31,104.95
1973-06-30,104.26
1973-07-31,108.22
1973-08-31,104.25
1973-09-30,108.43
1973-10-31,108.29
1973-11-30,95.96
1973-12-31,97.55
1974-01-31,96.57
1974-02-28,96.22
1974-03-31,93.98
1974-04-30,90.31
1974-05-31,87.28
1974-06-30,86.0
1974-07-31,79.31
1974-08-31,72.15
1974-09-30,63.54
1974-10-31,73.9
1974-11-30,69.97
1974-12-31,68.56
1975-01-31,76.98
1975-02-28,81.59
1975-03-31,83.36
1975-04-30,87.3
1975-05-31,91.15
1975-06-30,95.19
1975-07-31,88.75
1975-08-31,86.88
1975-09-30,83.87
1975-10-31,89.04
1975-11-30,91.24
1975-12-31,90.19
1976-01-31,100.86
1976-02-29,99.71
1976-03-31,102.77
1976-04-30,101.64
1976-05-31,100.18
1976-06-30,104.28
1976-07-31,103.44
1976-08-31,102.91
1976-09-30,105.24
1976-10-31,102.9
1976-11-30,102.1
1976-12-31,107.46
1977-01-31,102.03
1977-02-28,99.82
1977-03-31,98.42
1977-04-30,98.44
1977-05-31,96.12
1977-06-30,100.48
1977-07-31,98.85
1977-08-31,96.77
1977-09-30,96.53
1977-10-31,92.34
1977-11-30,94.83
1977-12-31,95.1
1978-01-31,89.25
1978-02-28,87.04
1978-03-31,89.21
1978-04-30,96.83
1978-05-31,97.24
1978-06-30,95.53
1978-07-31,100.68
1978-08-31,103.29
1978-09-30,102.54
1978-10-31,93.15
1978-11-30,94.7
1978-12-31,96.11
1979-01-31,99.93
1979-02-28,96.28
1979-03-31,101.59
1979-04-30,101.76
1979-05-31,99.08
1979-06-30,102.91
1979-07-31,103.81
1979-08-31,109.32
1979-09-30,109.32
1979-10-31,101.82
1979-11-30,106.16
1979-12-31,107.94
1980-01-31,114.16
1980-02-29,113.66
1980-03-31,102.09
1980-04-30,106.29
1980-05-31,111.24
1980-06-30,114.24
1980-07-31,121.67
1980-08-31,122.38
1980-09-30,125.46
1980-10-31,127.47
1980-11-30,140.52
1980-12-31,135.76
1981-01-31,129.55
1981-02-28,131.27
1981-03-31,136.0
1981-04-30,132.81
1981-05-31,132.59
1981-06-30,131.21
1981-07-31,130.92
1981-08-31,122.79
1981-09-30,116.18
1981-10-31,121.89
1981-11-30,126.35
1981-12-31,122.55
1982-01-31,120.4
1982-02-28,113.11
1982-03-31,111.96
1982-04-30,116.44
1982-05-31,111.88
1982-06-30,109.61
1982-07-31,107.09
1982-08-31,119.51
1982-09-30,120.42
1982-10-31,133.72
1982-11-30,138.53
1982-12-31,140.64
1983-01-31,145.3
1983-02-28,148.06
1983-03-31,152.96
1983-04-30,164.43
1983-05-31,162.39
1983-06-30,167.64
1983-07-31,162.56
1983-08-31,164.4
1983-09-30,166.07
1983-10-31,163.55
1983-11-30,166.4
1983-12-31,164.93
1984-01-31,163.41
1984-02-29,157.06
1984-03-31,159.18
1984-04-30,160.05
1984-05-31,150.55
1984-06-30,153.18
1984-07-31,150.66
1984-08-31,166.68
1984-09-30,166.1
1984-10-31,166.09
1984-11-30,163.58
1984-12-31,167.24
1985-01-31,179.63
1985-02-28,181.18
1985-03-31,180.66
1985-04-30,179.83
1985-05-31,189.55
1985-06-30,191.85
1985-07-31,190.92
1985-08-31,188.63
1985-09-30,182.08
1985-10-31,189.82
1985-11-30,202.17
1985-12-31,211.28
1986-01-31,211.78
1986-02-28,226.92
1986-03-31,238.9
1986-04-30,235.52
1986-05-31,247.35
1986-06-30,250.84
1986-07-31,236.12
1986-08-31,252.93
1986-09-30,231.32
1986-10-31,243.98
1986-11-30,249.22
1986-12-31,242.17
1987-01-31,274.08
1987-02-28,284.2
1987-03-31,291.7
1987-04-30,288.36
1987-05-31,290.1
1987-06-30,304.0
1987-07-31,318.66
1987-08-31,329.8
1987-09-30,321.83
1987-10-31,251.79
1987-11-30,230.3
1987-12-31,247.08
1988-01-31,257.07
1988-02-29,267.82
1988-03-31,258.89
1988-04-30,261.33
1988-05-31,262.16
1988-06-30,273.5
1988-07-31,272.02
1988-08-31,261.52
1988-09-30,271.91
1988-10-31,278.97
1988-11-30,273.7
1988-12-31,277.72
1989-01-31,297.47
1989-02-28,288.86
1989-03-31,294.87
1989-04-30,309.64
1989-05-31,320.52
1989-06-30,317.98
1989-07-31,346.08
1989-08-31,351.45
1989-09-30,349.15
1989-10-31,340.36
1989-11-30,345.99
1989-12-31,353.4
1990-01-31,329.08
1990-02-28,331.89
1990-03-31,339.94
1990-04-30,330.8
1990-05-31,361.23
1990-06-30,358.02
1990-07-31,356.15
1990-08-31,322.56
1990-09-30,306.05
1990-10-31,304.0
1990-11-30,322.22
1990-12-31,330.22
1991-01-31,343.93
1991-02-28,367.07
1991-03-31,375.22
1991-04-30,375.34
1991-05-31,389.83
1991-06-30,371.16
1991-07-31,387.81
1991-08-31,395.43
1991-09-30,387.86
1991-10-31,392.45
1991-11-30,375.22
1991-12-31,417.09
1992-01-31,408.78
1992-02-29,412.7
1992-03-31,403.69
1992-04-30,414.95
1992-05-31,415.35
1992-06-30,408.14
1992-07-31,424.21
1992-08-31,414.03
1992-09-30,417.8
1992-10-31,418.68
1992-11-30,431.35
1992-12-31,435.71
1993-01-31,438.78
1993-02-28,443.38
1993-03-31,451.67
1993-04-30,440.19
1993-05-31,450.19
1993-06-30,450.53
1993-07-31,448.13
1993-08-31,463.56
1993-09-30,458.93
1993-10-31,467.83
1993-11-30,461.79
1993-12-31,466.45
1994-01-31,481.61
1994-02-28,467.14
1994-03-31,445.77
1994-04-30,450.91
1994-05-31,456.5
1994-06-30,444.27
1994-07-31,458.26
1994-08-31,475.49
1994-09-30,462.71
1994-10-31,472.35
1994-11-30,453.69
1994-12-31,459.27
1995-01-31,470.42
1995-02-28,487.39
1995-03-31,500.71
1995-04-30,514.71
1995-05-31,533.4
1995-06-30,544.75
1995-07-31,562.06
1995-08-31,561.88
1995-09-30,584.41
1995-10-31,581.5
1995-11-30,605.37
1995-12-31,615.93
1996-01-31,636.02
1996-02-29,640.43
1996-03-31,645.5
1996-04-30,654.17
1996-05-31,669.12
1996-06-30,670.63
1996-07-31,639.95
1996-08-31,651.99
1996-09-30,687.33
1996-10-31,705.27
1996-11-30,757.02
1996-12-31,740.74
1997-01-31,786.16
1997-02-28,790.82
1997-03-31,757.12
1997-04-30,801.34
1997-05-31,848.28
1997-06-30,885.14
1997-07-31,954.31
1997-08-31,899.47
1997-09-30,947.28
1997-10-31,914.62
1997-11-30,955.4
1997-12-31,970.43
1998-01-31,980.28
1998-02-28,1049.34
1998-03-31,1101.75
1998-04-30,1111.75
1998-05-31,1090.82
1998-06-30,1133.84
1998-07-31,1120.67
1998-08-31,957.28
1998-09-30,1017.01
1998-10-31,1098.67
1998-11-30,1163.63
1998-12-31,1229.23
1999-01-31,1279.64
1999-02-28,1238.33
1999-03-31,1286.37
1999-04-30,1335.18
1999-05-31,1301.84
1999-06-30,1372.71
1999-07-31,1328.72
1999-08-31,1320.41
1999-09-30,1282.71
1999-10-31,1362.93
1999-11-30,1388.91
1999-12-31,1469.25
2000-01-31,1394.46
2000-02-29,1366.42
2000-03-31,1498.58
2000-04-30,1452.43
2000-05-31,1420.6
2000-06-30,1454.6
2000-07-31,1430.83
2000-08-31,1517.68
2000-09-30,1436.51
2000-10-31,1429.4
2000-11-30,1314.95
2000-12-31,1320.28
2001-01-31,1366.01
2001-02-28,1239.94
2001-03-31,1160.33
2001-04-30,1249.46
2001-05-31,1255.82
2001-06-30,1224.38
2001-07-31,1211.23
2001-08-31,1133.58
2001-09-30,1040.94
2001-10-31,1059.78
2001-11-30,1139.45
2001-12-31,1148.08
2002-01-31,1130.2
2002-02-28,1106.73
2002-03-31,1147.39
2002-04-30,1076.92
2002-05-31,1067.14
2002-06-30,989.82
2002-07-31,911.62
2002-08-31,916.07
2002-09-30,815.28
2002-10-31,885.76
2002-11-30,936.31
2002-12-31,879.82
2003-01-31,855.7
2003-02-28,841.15
2003-03-31,848.18
2003-04-30,916.92
2003-05-31,963.59
2003-06-30,974.5
2003-07-31,990.31
2003-08-31,1008.01
2003-09-30,995.97
2003-10-31,1050.71
2003-11-30,1058.2
2003-12-31,1111.92
2004-01-31,1131.13
2004-02-29,1144.94
2004-03-31,1126.21
2004-04-30,1107.3
2004-05-31,1120.68
2004-06-30,1140.84
2004-07-31,1101.72
2004-08-31,1104.24
2004-09-30,1114.58
2004-10-31,1130.2
2004-11-30,1173.82
2004-12-31,1211.92
2005-01-31,1181.27
2005-02-28,1203.6
2005-03-31,1180.59
2005-04-30,1156.85
2005-05-31,1191.5
2005-06-30,1191.33
2005-07-31,1234.18
2005-08-31,1220.33
2005-09-30,1228.81
2005-10-31,1207.01
2005-11-30,1249.48
2005-12-31,1248.29
2006-01-31,1280.08
2006-02-28,1280.66
2006-03-31,1294.87
2006-04-30,1310.61
2006-05-31,1270.09
2006-06-30,1270.2
2006-07-31,1276.66
2006-08-31,1303.82
2006-09-30,1335.85
2006-10-31,1377.94
2006-11-30,1400.63
2006-12-31,1418.3
2007-01-31,1438.24
2007-02-28,1406.82
2007-03-31,1420.86
2007-04-30,1482.37
2007-05-31,1530.62
2007-06-30,1503.35
2007-07-31,1455.27
2007-08-31,1473.99
2007-09-30,1526.75
2007-10-31,1549.38
2007-11-30,1481.14
2007-12-31,1468.36
2008-01-31,1378.55
2008-02-29,1330.63
2008-03-31,1322.7
2008-04-30,1385.59
2008-05-31,1400.38
2008-06-30,1280.0
2008-07-31,1267.38
2008-08-31,1282.83
2008-09-30,1166.36
2008-10-31,968.75
2008-11-30,896.24
2008-12-31,903.25
2009-01-31,825.88
2009-02-28,735.09
2009-03-31,797.87
2009-04-30,872.81
2009-05-31,919.14
2009-06-30,919.32
2009-07-31,987.48
2009-08-31,1020.62
2009-09-30,1057.08
2009-10-31,1036.19
2009-11-30,1095.63
2009-12-31,1115.1
2010-01-31,1073.87
2010-02-28,1104.49
2010-03-31,1169.43
2010-04-30,1186.69
2010-05-31,1089.41
2010-06-30,1030.71
2010-07-31,1101.6
2010-08-31,1049.33
2010-09-30,1141.2
2010-10-31,1183.26
2010-11-30,1180.55
2010-12-31,1257.64
2011-01-31,1286.12
2011-02-28,1327.22
2011-03-31,1325.83
2011-04-30,1363.61
2011-05-31,1345.2
2011-06-30,1320.64
2011-07-31,1292.28
2011-08-31,1218.89
2011-09-30,1131.42
2011-10-31,1253.3
2011-11-30,1246.96
2011-12-31,1257.6
2012-01-31,1312.41
2012-02-29,1365.68
2012-03-31,1408.47
2012-04-30,1397.91
2012-05-31,1310.33
2012-06-30,1362.16
2012-07-31,1379.32
2012-08-31,1406.58
2012-09-30,1440.67
2012-10-31,1412.16
2012-11-30,1416.18
2012-12-31,1426.19
2013-01-31,1498.11
2013-02-28,1514.68
2013-03-31,1569.19
2013-04-30,1597.57
2013-05-31,1630.74
2013-06-30,1606.28
2013-07-31,1685.73
2013-08-31,1632.97
2013-09-30,1681.55
2013-10-31,1756.54
2013-11-30,1805.81
2013-12-31,1848.36
2014-01-31,1782.59
2014-02-28,1859.45
2014-03-31,1872.34
2014-04-30,1883.95
2014-05-31,1923.57
2014-06-30,1960.23
2014-07-31,1930.67
2014-08-31,2003.37
2014-09-30,1972.29
2014-10-31,2018.05
2014-11-30,2067.56
2014-12-31,2058.9
2015-01-31,1994.99
2015-02-28,2104.5
2015-03-31,2067.89
2015-04-30,2085.51
2015-05-31,2107.39
2015-06-30,2063.11
2015-07-31,2103.84
2015-08-31,1972.18
2015-09-30,1920.03
2015-10-31,2079.36
2015-11-30,2080.41
2015-12-31,2043.94
2016-01-31,1940.24
2016-02-29,1932.23
2016-03-31,2059.74
2016-04-30,2065.3
2016-05-31,2096.95
2016-06-30,2098.86
2016-07-31,2173.6
2016-08-31,2170.95
2016-09-30,2168.27
2016-10-31,2126.15
2016-11-30,2198.81
2016-12-31,2238.83
2017-01-31,2278.87
2017-02-28,2363.64
2017-03-31,2362.72
2017-04-30,2384.2
2017-05-31,2411.8
2017-06-30,2423.41
2017-07-31,2470.3
2017-08-31,2471.65
2017-09-30,2519.36
2017-10-31,2575.26
2017-11-30,2647.58
2017-12-31,2673.61
2018-01-31,2823.81
2018-02-28,2713.83
2018-03-31,2640.87
2018-04-30,2648.05
2018-05-31,2705.27
2018-06-30,2718.37
2018-07-31,2816.29
2018-08-31,2901.52
2018-09-30,2913.98
2018-10-31,2711.74
2018-11-30,2760.17
2018-12-31,2506.85
2019-01-31,2704.1
2019-02-28,2784.49
2019-03-31,2834.4
2019-04-30,2945.83
2019-05-31,2752.06
2019-06-30,2941.76
2019-07-31,2980.38
2019-08-31,2926.46
2019-09-30,2976.74
2019-10-31,3037.56
2019-11-30,3140.98
2019-12-31,3230.78
2020-01-31,3225.52
2020-02-29,2954.22
2020-03-31,2584.59
2020-04-30,2912.43
2020-05-31,3044.31
2020-06-30,3100.29
2020-07-31,3271.12
2020-08-31,3500.31
2020-09-30,3363.0
2020-10-31,3269.96
2020-11-30,3621.63
2020-12-31,3756.07
2021-01-31,3714.24
2021-02-28,3811.15
2021-03-31,3972.89
2021-04-30,4181.17
2021-05-31,4204.11
2021-06-30,4297.5
2021-07-31,4395.26
2021-08-31,4522.68
2021-09-30,4307.54
2021-10-31,4605.38
2021-11-30,4567.0
2021-12-31,4766.18
2022-01-31,4515.55
2022-02-28,4373.94
2022-03-31,4530.41
2022-04-30,4131.93
2022-05-31,4132.15
2022-06-30,3785.38
2022-07-31,4130.29
2022-08-31,3955.0
2022-09-30,3585.62
2022-10-31,3871.98
2022-11-30,4080.11
2022-12-31,3839.5
2023-01-31,4076.6
2023-02-28,3970.15
2023-03-31,4109.31
2023-04-30,4169.48
2023-05-31,4179.83
2023-06-30,4450.38
2023-07-31,4588.96
2023-08-31,4507.66
2023-09-30,4288.05
2023-10-31,4193.8
2023-11-30,4567.8
2023-12-31,4769.83
2024-01-31,4845.65
2024-02-29,5096.27
2024-03-31,5254.35
2024-04-30,5035.69
2024-05-31,5277.51
2024-06-30,5460.48
2024-07-31,5522.3
2024-08-31,5648.4
2024-09-30,5762.48
2024-10-31,5705.45
2024-11-30,6032.38
2024-12-31,5881.63
2025-01-31,6040.53
2025-02-28,5954.5
2025-03-31,5611.85
2025-04-30,5360.11
